district,sector,year,value_rs_cr,rank,growth_pct,contribution_pct
ELURU,Manufacturing,2024-25 (FRE),2888.367395917807,16,7.64,1.79
ELURU,Manufacturing,2025-26 (FAE),3156.9878389382757,16,9.31,1.79
KRISHNA,Manufacturing,2022-23 (TRE),2504.999494010887,14,,1.98
KRISHNA,Manufacturing,2023-24 (SRE),3188,11,27.27,2.11
KRISHNA,Manufacturing,2024-25 (FRE),3490.3473051164306,11,9.47,2.16
KRISHNA,Manufacturing,2025-26 (FAE),3784.9961846798715,11,8.45,2.15
NTR,Manufacturing,2022-23 (TRE),2945.6569613914576,10,,2.33
NTR,Manufacturing,2023-24 (SRE),3123,12,6.01,2.07
NTR,Manufacturing,2024-25 (FRE),3369.736071474942,12,7.91,2.09
NTR,Manufacturing,2025-26 (FAE),3705.701531914219,12,9.97,2.1
GUNTUR,Manufacturing,2022-23 (TRE),4949.542159011213,6,,3.92
GUNTUR,Manufacturing,2023-24 (SRE),5815,7,17.47,3.85
GUNTUR,Manufacturing,2024-25 (FRE),6442.515401247767,7,10.8,3.99
GUNTUR,Manufacturing,2025-26 (FAE),6981.14394236921,7,8.35,3.96
BAPATLA,Manufacturing,2022-23 (TRE),793.2178469649889,23,,0.63
BAPATLA,Manufacturing,2023-24 (SRE),1238,22,56.12,0.82
BAPATLA,Manufacturing,2024-25 (FRE),1381.5093885747897,22,11.63,0.86
BAPATLA,Manufacturing,2025-26 (FAE),1493.9723289696017,22,8.1,0.85
PALNADU,Manufacturing,2022-23 (TRE),1774.8830652719282,20,,1.4
PALNADU,Manufacturing,2023-24 (SRE),1585,20,-10.7,1.05
PALNADU,Manufacturing,2024-25 (FRE),1738.9621450252578,20,9.72,1.08
PALNADU,Manufacturing,2025-26 (FAE),1889.9667953771675,20,8.68,1.07
MARKAPURAM,Manufacturing,2022-23 (TRE),172.16984363755583,24,,0.14
MARKAPURAM,Manufacturing,2023-24 (SRE),499,25,190.12,0.33
MARKAPURAM,Manufacturing,2024-25 (FRE),568.1855437879246,25,13.83,0.35
MARKAPURAM,Manufacturing,2025-26 (FAE),610.5954864746889,25,7.57,0.35
PRAKASAM,Manufacturing,2022-23 (TRE),3220.0362048556694,9,,2.55
PRAKASAM,Manufacturing,2023-24 (SRE),3861,10,19.91,2.56
PRAKASAM,Manufacturing,2024-25 (FRE),4287.8000191355995,10,11.06,2.66
PRAKASAM,Manufacturing,2025-26 (FAE),4643.17077435191,10,8.28,2.64
SPS NELLORE,Manufacturing,2022-23 (TRE),2360.6771598918554,16,,1.87
SPS NELLORE,Manufacturing,2023-24 (SRE),2755,15,16.69,1.82
SPS NELLORE,Manufacturing,2024-25 (FRE),3007.7483433146426,15,9.18,1.87
SPS NELLORE,Manufacturing,2025-26 (FAE),3273.5983227314737,15,8.84,1.86
KURNOOL,Manufacturing,2022-23 (TRE),1748.2326456838557,21,,1.38
KURNOOL,Manufacturing,2023-24 (SRE),1486,21,-14.99,0.98
KURNOOL,Manufacturing,2024-25 (FRE),1601.5496819533337,21,7.81,0.99
KURNOOL,Manufacturing,2025-26 (FAE),1749.8549510271664,21,9.24,0.99
NANDYAL,Manufacturing,2022-23 (TRE),1777.4559690808744,19,,1.41
NANDYAL,Manufacturing,2023-24 (SRE),2827,14,59.09,1.87
NANDYAL,Manufacturing,2024-25 (FRE),3012.5647184579852,14,6.58,1.87
NANDYAL,Manufacturing,2025-26 (FAE),3303.219987034322,14,9.62,1.87
ANANTHAPURAMU,Manufacturing,2022-23 (TRE),2456.2985090979287,15,,1.94
ANANTHAPURAMU,Manufacturing,2023-24 (SRE),4327,9,76.18,2.87
ANANTHAPURAMU,Manufacturing,2024-25 (FRE),4628.422536857651,9,6.96,2.87
ANANTHAPURAMU,Manufacturing,2025-26 (FAE),5068.887083286179,9,9.53,2.88
SRI SATYA SAI,Manufacturing,2022-23 (TRE),9872.02924800074,4,,7.81
SRI SATYA SAI,Manufacturing,2023-24 (SRE),9831,4,-0.42,6.51
SRI SATYA SAI,Manufacturing,2024-25 (FRE),10463.604550489843,4,6.44,6.49
SRI SATYA SAI,Manufacturing,2025-26 (FAE),11476.845689340296,4,9.68,6.51
YSR KADAPA,Manufacturing,2022-23 (TRE),2563.3045228279193,13,,2.03
YSR KADAPA,Manufacturing,2023-24 (SRE),9630,5,275.73,6.38
YSR KADAPA,Manufacturing,2024-25 (FRE),10236.847423604606,5,6.3,6.35
YSR KADAPA,Manufacturing,2025-26 (FAE),11232.438938314668,5,9.72,6.38
ANNAMAYYA,Manufacturing,2022-23 (TRE),116.3817284940881,25,,0.09
ANNAMAYYA,Manufacturing,2023-24 (SRE),708,24,510.34,0.47
ANNAMAYYA,Manufacturing,2024-25 (FRE),786.5641539980871,24,11.16,0.49
ANNAMAYYA,Manufacturing,2025-26 (FAE),851.6140745253648,24,8.26,0.48
CHITTOOR,Manufacturing,2022-23 (TRE),3422.363398702811,8,,2.71
CHITTOOR,Manufacturing,2023-24 (SRE),2413,18,-29.49,1.6
CHITTOOR,Manufacturing,2024-25 (FRE),2598.187848191199,18,7.67,1.61
CHITTOOR,Manufacturing,2025-26 (FAE),2839.7597773933962,18,9.31,1.61
TIRUPATI,Manufacturing,2022-23 (TRE),24679.00859080153,1,,19.53
TIRUPATI,Manufacturing,2023-24 (SRE),22891,2,-7.25,15.16
TIRUPATI,Manufacturing,2024-25 (FRE),24308.87262182007,2,6.19,15.07
TIRUPATI,Manufacturing,2025-26 (FAE),26711.710242422243,2,9.89,15.16
SRIKAKULAM,"Electricity, Gas, Water Supply",2022-23 (TRE),371,24,,1.2
SRIKAKULAM,"Electricity, Gas, Water Supply",2023-24 (SRE),486.34864791305364,24,31,1.24
SRIKAKULAM,"Electricity, Gas, Water Supply",2024-25 (FRE),582.0325310095155,22,19.75,1.38
SRIKAKULAM,"Electricity, Gas, Water Supply",2025-26 (FAE),623.5321874726892,22,7.22,1.41
VIZIANAGARAM,"Electricity, Gas, Water Supply",2022-23 (TRE),570,17,,1.85
VIZIANAGARAM,"Electricity, Gas, Water Supply",2023-24 (SRE),756.2132196428723,15,32.63,1.93
VIZIANAGARAM,"Electricity, Gas, Water Supply",2024-25 (FRE),775.3438884980294,18,2.51,1.83
VIZIANAGARAM,"Electricity, Gas, Water Supply",2025-26 (FAE),823.0546957403903,18,6.19,1.86
PARVATHIPURAM MANYAM,"Electricity, Gas, Water Supply",2022-23 (TRE),112,28,,0.36
PARVATHIPURAM MANYAM,"Electricity, Gas, Water Supply",2023-24 (SRE),146.51069402112435,28,31.25,0.37
PARVATHIPURAM MANYAM,"Electricity, Gas, Water Supply",2024-25 (FRE),177.63202388306175,28,21.09,0.42
PARVATHIPURAM MANYAM,"Electricity, Gas, Water Supply",2025-26 (FAE),179.88913056327047,28,1.12,0.41
ALLURI SEETHA RAMA RAJU,"Electricity, Gas, Water Supply",2022-23 (TRE),123,27,,0.4
ALLURI SEETHA RAMA RAJU,"Electricity, Gas, Water Supply",2023-24 (SRE),171.01538033048186,27,39.02,0.44
ALLURI SEETHA RAMA RAJU,"Electricity, Gas, Water Supply",2024-25 (FRE),198.59001971021175,27,16.37,0.47
ALLURI SEETHA RAMA RAJU,"Electricity, Gas, Water Supply",2025-26 (FAE),197.17502263397174,27,-1.01,0.44
POLAVARAM,"Electricity, Gas, Water Supply",2022-23 (TRE),178,26,,0.58
POLAVARAM,"Electricity, Gas, Water Supply",2023-24 (SRE),287.57922967950657,26,61.8,0.73
POLAVARAM,"Electricity, Gas, Water Supply",2024-25 (FRE),313.5940209988103,26,9.03,0.74
POLAVARAM,"Electricity, Gas, Water Supply",2025-26 (FAE),291.6781654509733,26,-7.01,0.66
VISAKHAPATNAM,"Electricity, Gas, Water Supply",2022-23 (TRE),1855,7,,6.01
VISAKHAPATNAM,"Electricity, Gas, Water Supply",2023-24 (SRE),2518.6603503159945,6,35.8,6.42
VISAKHAPATNAM,"Electricity, Gas, Water Supply",2024-25 (FRE),2422.5810714342383,6,-3.81,5.73
VISAKHAPATNAM,"Electricity, Gas, Water Supply",2025-26 (FAE),2693.6738933455263,5,11.18,6.08
ANAKAPALLE,"Electricity, Gas, Water Supply",2022-23 (TRE),2431,2,,7.87
ANAKAPALLE,"Electricity, Gas, Water Supply",2023-24 (SRE),2541.518025078961,5,4.57,6.47
ANAKAPALLE,"Electricity, Gas, Water Supply",2024-25 (FRE),2578.3414010633073,5,1.42,6.09
ANAKAPALLE,"Electricity, Gas, Water Supply",2025-26 (FAE),2610.317161463029,6,1.24,5.89
KAKINADA,"Electricity, Gas, Water Supply",2022-23 (TRE),496,20,,1.61
KAKINADA,"Electricity, Gas, Water Supply",2023-24 (SRE),673.1071916673527,21,35.69,1.71
KAKINADA,"Electricity, Gas, Water Supply",2024-25 (FRE),846.5659886189356,14,25.85,2
KAKINADA,"Electricity, Gas, Water Supply",2025-26 (FAE),927.7715249476911,13,9.56,2.09
DR.B.R.AMBEDKAR KONASEEMA,"Electricity, Gas, Water Supply",2022-23 (TRE),516,18,,1.67
DR.B.R.AMBEDKAR KONASEEMA,"Electricity, Gas, Water Supply",2023-24 (SRE),738.8103142563776,16,43.22,1.88
DR.B.R.AMBEDKAR KONASEEMA,"Electricity, Gas, Water Supply",2024-25 (FRE),654.646912994252,19,-11.37,1.55
DR.B.R.AMBEDKAR KONASEEMA,"Electricity, Gas, Water Supply",2025-26 (FAE),706.7793631449146,19,7.94,1.59
EAST GODAVARI,"Electricity, Gas, Water Supply",2022-23 (TRE),582,16,,1.88
EAST GODAVARI,"Electricity, Gas, Water Supply",2023-24 (SRE),775.504561329379,14,33.33,1.98
EAST GODAVARI,"Electricity, Gas, Water Supply",2024-25 (FRE),784.2947207216399,17,1.03,1.85
EAST GODAVARI,"Electricity, Gas, Water Supply",2025-26 (FAE),826.6501333246368,16,5.48,1.87
WEST GODAVARI,"Electricity, Gas, Water Supply",2022-23 (TRE),506,19,,1.64
WEST GODAVARI,"Electricity, Gas, Water Supply",2023-24 (SRE),733.346521511065,18,44.86,1.87
WEST GODAVARI,"Electricity, Gas, Water Supply",2024-25 (FRE),803.6581308292615,16,9.69,1.9
WEST GODAVARI,"Electricity, Gas, Water Supply",2025-26 (FAE),826.0908352251032,17,2.74,1.86
ELURU,"Electricity, Gas, Water Supply",2022-23 (TRE),461,21,,1.49
ELURU,"Electricity, Gas, Water Supply",2023-24 (SRE),708.1131444324388,19,53.58,1.8
ELURU,"Electricity, Gas, Water Supply",2024-25 (FRE),647.3985749803245,20,-8.62,1.53
ELURU,"Electricity, Gas, Water Supply",2025-26 (FAE),691.9801254561795,20,6.96,1.56
KRISHNA,"Electricity, Gas, Water Supply",2022-23 (TRE),632,14,,2.05
KRISHNA,"Electricity, Gas, Water Supply",2023-24 (SRE),855.4933291492565,11,35.28,2.18
KRISHNA,"Electricity, Gas, Water Supply",2024-25 (FRE),923.1314150200784,11,7.95,2.18
KRISHNA,"Electricity, Gas, Water Supply",2025-26 (FAE),971.1534789539625,12,5.2,2.19
NTR,"Electricity, Gas, Water Supply",2022-23 (TRE),2028,5,,6.57
NTR,"Electricity, Gas, Water Supply",2023-24 (SRE),3562.2995825704834,2,75.64,9.07
NTR,"Electricity, Gas, Water Supply",2024-25 (FRE),3823.910630227745,2,7.36,9.04
NTR,"Electricity, Gas, Water Supply",2025-26 (FAE),3964.4108273676356,2,3.66,8.94
GUNTUR,"Electricity, Gas, Water Supply",2022-23 (TRE),839,11,,2.72
GUNTUR,"Electricity, Gas, Water Supply",2023-24 (SRE),1186.324963239535,10,41.36,3.02
GUNTUR,"Electricity, Gas, Water Supply",2024-25 (FRE),1352.7538145653486,10,14.08,3.2
GUNTUR,"Electricity, Gas, Water Supply",2025-26 (FAE),1392.5872846036198,10,2.96,3.14
BAPATLA,"Electricity, Gas, Water Supply",2022-23 (TRE),392,22,,1.27
BAPATLA,"Electricity, Gas, Water Supply",2023-24 (SRE),547.0791440587702,22,39.54,1.39
BAPATLA,"Electricity, Gas, Water Supply",2024-25 (FRE),523.4652253058779,25,-4.39,1.24
BAPATLA,"Electricity, Gas, Water Supply",2025-26 (FAE),570.2595653925209,24,8.99,1.29
PALNADU,"Electricity, Gas, Water Supply",2022-23 (TRE),585,15,,1.89
PALNADU,"Electricity, Gas, Water Supply",2023-24 (SRE),738.4241075569544,17,26.15,1.88
PALNADU,"Electricity, Gas, Water Supply",2024-25 (FRE),808.3609216817673,15,9.49,1.91
PALNADU,"Electricity, Gas, Water Supply",2025-26 (FAE),879.5316763168411,15,8.91,1.98
MARKAPURAM,"Electricity, Gas, Water Supply",2022-23 (TRE),357,25,,1.16
MARKAPURAM,"Electricity, Gas, Water Supply",2023-24 (SRE),486.09403676132536,24,36.13,1.24
MARKAPURAM,"Electricity, Gas, Water Supply",2024-25 (FRE),524.3240776980598,24,7.82,1.24
MARKAPURAM,"Electricity, Gas, Water Supply",2025-26 (FAE),557.4420810049409,25,6.3,1.26
PRAKASAM,"Electricity, Gas, Water Supply",2022-23 (TRE),383,23,,1.24
PRAKASAM,"Electricity, Gas, Water Supply",2023-24 (SRE),545.1423728884176,23,42.3,1.39
PRAKASAM,"Electricity, Gas, Water Supply",2024-25 (FRE),575.2114592086423,23,5.5,1.36
PRAKASAM,"Electricity, Gas, Water Supply",2025-26 (FAE),612.0761981718363,23,6.43,1.38
SPS NELLORE,"Electricity, Gas, Water Supply",2022-23 (TRE),5961,1,,19.3
SPS NELLORE,"Electricity, Gas, Water Supply",2023-24 (SRE),7294.363724354516,1,22.36,18.58
SPS NELLORE,"Electricity, Gas, Water Supply",2024-25 (FRE),9129.529410576486,1,25.17,21.57
SPS NELLORE,"Electricity, Gas, Water Supply",2025-26 (FAE),9440.846073352111,1,3.41,21.29
KURNOOL,"Electricity, Gas, Water Supply",2022-23 (TRE),1507,8,,4.88
KURNOOL,"Electricity, Gas, Water Supply",2023-24 (SRE),1651.1610888638813,8,9.56,4.2
KURNOOL,"Electricity, Gas, Water Supply",2024-25 (FRE),2001.7210067962712,8,21.26,4.73
KURNOOL,"Electricity, Gas, Water Supply",2025-26 (FAE),2080.8161124651306,8,3.95,4.69
NANDYAL,"Electricity, Gas, Water Supply",2022-23 (TRE),985,10,,3.19
NANDYAL,"Electricity, Gas, Water Supply",2023-24 (SRE),840.431416883701,12,-14.72,2.14
NANDYAL,"Electricity, Gas, Water Supply",2024-25 (FRE),885.0121364697065,13,5.36,2.09
NANDYAL,"Electricity, Gas, Water Supply",2025-26 (FAE),1072.1060400408082,11,21.13,2.42
ANANTHAPURAMU,"Electricity, Gas, Water Supply",2022-23 (TRE),2141,3,,6.93
ANANTHAPURAMU,"Electricity, Gas, Water Supply",2023-24 (SRE),2629.421821630982,4,22.79,6.7
ANANTHAPURAMU,"Electricity, Gas, Water Supply",2024-25 (FRE),2769.420866305445,4,5.33,6.54
ANANTHAPURAMU,"Electricity, Gas, Water Supply",2025-26 (FAE),2855.8730083827213,4,3.14,6.44
SRI SATYA SAI,"Electricity, Gas, Water Supply",2022-23 (TRE),1942,6,,6.29
SRI SATYA SAI,"Electricity, Gas, Water Supply",2023-24 (SRE),2113.845519778855,7,8.86,5.38
SRI SATYA SAI,"Electricity, Gas, Water Supply",2024-25 (FRE),2256.5051063709398,7,6.76,5.33
SRI SATYA SAI,"Electricity, Gas, Water Supply",2025-26 (FAE),2314.5270087305094,7,2.57,5.22
YSR KADAPA,"Electricity, Gas, Water Supply",2022-23 (TRE),2114,4,,6.84
YSR KADAPA,"Electricity, Gas, Water Supply",2023-24 (SRE),3327.33267279409,3,57.38,8.47
YSR KADAPA,"Electricity, Gas, Water Supply",2024-25 (FRE),2943.640721310722,3,-11.51,6.96
YSR KADAPA,"Electricity, Gas, Water Supply",2025-26 (FAE),3095.565906633766,3,5.16,6.98
ANNAMAYYA,"Electricity, Gas, Water Supply",2022-23 (TRE),681,13,,2.2
ANNAMAYYA,"Electricity, Gas, Water Supply",2023-24 (SRE),683.8672513260498,20,0.44,1.74
ANNAMAYYA,"Electricity, Gas, Water Supply",2024-25 (FRE),625.2789627724162,21,-8.63,1.48
ANNAMAYYA,"Electricity, Gas, Water Supply",2025-26 (FAE),632.9684817185819,21,1.28,1.43
CHITTOOR,"Electricity, Gas, Water Supply",2022-23 (TRE),708,12,,2.29
CHITTOOR,"Electricity, Gas, Water Supply",2023-24 (SRE),805.3583546175128,13,13.7,2.05
CHITTOOR,"Electricity, Gas, Water Supply",2024-25 (FRE),894.0949725452552,12,11.06,2.11
CHITTOOR,"Electricity, Gas, Water Supply",2025-26 (FAE),888.3793662301251,14,-0.67,2
TIRUPATI,"Electricity, Gas, Water Supply",2022-23 (TRE),1431,9,,4.63
TIRUPATI,"Electricity, Gas, Water Supply",2023-24 (SRE),1464.205772195712,9,2.31,3.73
TIRUPATI,"Electricity, Gas, Water Supply",2024-25 (FRE),1499.9591921182475,9,2.46,3.54
TIRUPATI,"Electricity, Gas, Water Supply",2025-26 (FAE),1606.6671529761902,9,7.13,3.62
SRIKAKULAM,Construction,2022-23 (TRE),2771.386943195518,15,,2.84
SRIKAKULAM,Construction,2023-24 (SRE),2911,15,5.05,2.81
SRIKAKULAM,Construction,2024-25 (FRE),3208.2131173000603,15,10.2,2.79
SRIKAKULAM,Construction,2025-26 (FAE),3589.281730101872,15,11.88,2.76
VIZIANAGARAM,Construction,2022-23 (TRE),3074.07538669235,14,,3.15
VIZIANAGARAM,Construction,2023-24 (SRE),3243,14,5.5,3.14
VIZIANAGARAM,Construction,2024-25 (FRE),3597.131604157312,14,10.92,3.13
VIZIANAGARAM,Construction,2025-26 (FAE),4055.2423416300353,14,12.73,3.12
PARVATHIPURAM MANYAM,Construction,2022-23 (TRE),976.7793942262588,26,,1
PARVATHIPURAM MANYAM,Construction,2023-24 (SRE),1071,26,9.62,1.04
PARVATHIPURAM MANYAM,Construction,2024-25 (FRE),1183.728897778696,26,10.55,1.03
PARVATHIPURAM MANYAM,Construction,2025-26 (FAE),1335.5599069718965,26,12.84,1.03
ALLURI SEETHA RAMA RAJU,Construction,2022-23 (TRE),331.8857120959651,27,,0.34
ALLURI SEETHA RAMA RAJU,Construction,2023-24 (SRE),378,27,13.86,0.37
ALLURI SEETHA RAMA RAJU,Construction,2024-25 (FRE),384.96720590464724,27,1.85,0.33
ALLURI SEETHA RAMA RAJU,Construction,2025-26 (FAE),420.74072428221297,27,9.35,0.32
POLAVARAM,Construction,2022-23 (TRE),181.31554156295027,28,,0.19
POLAVARAM,Construction,2023-24 (SRE),190,28,4.97,0.18
POLAVARAM,Construction,2024-25 (FRE),201.58784297849144,28,6.32,0.18
POLAVARAM,Construction,2025-26 (FAE),215.78490791062865,28,6.93,0.17
VISAKHAPATNAM,Construction,2022-23 (TRE),10582.70918826565,1,,10.85
VISAKHAPATNAM,Construction,2023-24 (SRE),11271,1,6.5,10.9
VISAKHAPATNAM,Construction,2024-25 (FRE),12639.780116787022,1,12.15,10.99
VISAKHAPATNAM,Construction,2025-26 (FAE),14434.926322348276,1,14.2,11.1
ANAKAPALLE,Construction,2022-23 (TRE),2015.6731213844641,23,,2.07
ANAKAPALLE,Construction,2023-24 (SRE),2125,23,5.41,2.05
ANAKAPALLE,Construction,2024-25 (FRE),2335.8982750104315,23,9.93,2.03
ANAKAPALLE,Construction,2025-26 (FAE),2603.909746081478,23,11.47,2
KAKINADA,Construction,2022-23 (TRE),4660.958147509228,7,,4.78
KAKINADA,Construction,2023-24 (SRE),4941,7,6.01,4.78
KAKINADA,Construction,2024-25 (FRE),5491.763140625963,7,11.15,4.78
KAKINADA,Construction,2025-26 (FAE),6204.978187405962,7,12.98,4.77
DR.B.R.AMBEDKAR KONASEEMA,Construction,2022-23 (TRE),1189.4473458809618,25,,1.22
DR.B.R.AMBEDKAR KONASEEMA,Construction,2023-24 (SRE),1230,25,3.45,1.19
DR.B.R.AMBEDKAR KONASEEMA,Construction,2024-25 (FRE),1364.0821423814853,25,10.89,1.19
DR.B.R.AMBEDKAR KONASEEMA,Construction,2025-26 (FAE),1501.4954551668186,25,10.12,1.16
EAST GODAVARI,Construction,2022-23 (TRE),4453.271505281852,9,,4.56
EAST GODAVARI,Construction,2023-24 (SRE),4675,9,4.99,4.52
EAST GODAVARI,Construction,2024-25 (FRE),5210.743988495634,9,11.47,4.53
EAST GODAVARI,Construction,2025-26 (FAE),5884.33961334546,9,12.91,4.53
WEST GODAVARI,Construction,2022-23 (TRE),3467.4601433695916,12,,3.55
WEST GODAVARI,Construction,2023-24 (SRE),3653,12,5.36,3.53
WEST GODAVARI,Construction,2024-25 (FRE),4049.545662198246,12,10.87,3.52
WEST GODAVARI,Construction,2025-26 (FAE),4561.457869946825,12,12.62,3.51
ELURU,Construction,2022-23 (TRE),2455.9902856562007,18,,2.52
ELURU,Construction,2023-24 (SRE),2567,19,4.52,2.48
ELURU,Construction,2024-25 (FRE),2821.1973053701518,19,9.89,2.45
ELURU,Construction,2025-26 (FAE),3144.18688035018,19,11.45,2.42
KRISHNA,Construction,2022-23 (TRE),3565.1800649571,11,,3.65
KRISHNA,Construction,2023-24 (SRE),3750,11,5.19,3.63
KRISHNA,Construction,2024-25 (FRE),4177.87298627648,11,11.41,3.63
KRISHNA,Construction,2025-26 (FAE),4734.981088717295,11,13.33,3.64
NTR,Construction,2022-23 (TRE),8432.97363556552,2,,8.64
NTR,Construction,2023-24 (SRE),8964,2,6.3,8.67
NTR,Construction,2024-25 (FRE),10023.558965964261,2,11.83,8.72
NTR,Construction,2025-26 (FAE),11405.87199988256,2,13.79,8.77
GUNTUR,Construction,2022-23 (TRE),6788.5422213555385,3,,6.96
GUNTUR,Construction,2023-24 (SRE),7209,3,6.19,6.97
GUNTUR,Construction,2024-25 (FRE),8052.008667655848,3,11.69,7
GUNTUR,Construction,2025-26 (FAE),9150.306210283063,3,13.64,7.04
BAPATLA,Construction,2022-23 (TRE),2125.8289182561593,22,,2.18
BAPATLA,Construction,2023-24 (SRE),2248,22,5.74,2.17
BAPATLA,Construction,2024-25 (FRE),2496.277002658248,22,11.03,2.17
BAPATLA,Construction,2025-26 (FAE),2806.8473541334934,22,12.46,2.16
PALNADU,Construction,2022-23 (TRE),3176.8439944917627,13,,3.26
PALNADU,Construction,2023-24 (SRE),3379,13,6.36,3.27
PALNADU,Construction,2024-25 (FRE),3753.104364492983,13,11.07,3.26
PALNADU,Construction,2025-26 (FAE),4228.57892323685,13,12.68,3.25
MARKAPURAM,Construction,2022-23 (TRE),1476.4137264713881,24,,1.51
MARKAPURAM,Construction,2023-24 (SRE),1559,24,5.62,1.51
MARKAPURAM,Construction,2024-25 (FRE),1746.1558728219434,24,11.99,1.52
MARKAPURAM,Construction,2025-26 (FAE),1960.814767127708,24,12.31,1.51
PRAKASAM,Construction,2022-23 (TRE),2190.39809560044,21,,2.24
PRAKASAM,Construction,2023-24 (SRE),2298,21,4.93,2.22
PRAKASAM,Construction,2024-25 (FRE),2555.8600717946097,21,11.23,2.22
PRAKASAM,Construction,2025-26 (FAE),2864.7243374476066,21,12.09,2.2
SPS NELLORE,Construction,2022-23 (TRE),4726.881555705357,6,,4.85
SPS NELLORE,Construction,2023-24 (SRE),5021,6,6.22,4.85
SPS NELLORE,Construction,2024-25 (FRE),5591.924427399545,6,11.37,4.86
SPS NELLORE,Construction,2025-26 (FAE),6324.449103329905,6,13.09,4.86
KURNOOL,Construction,2022-23 (TRE),4204.4815886913775,10,,4.31
KURNOOL,Construction,2023-24 (SRE),4454,10,5.95,4.31
KURNOOL,Construction,2024-25 (FRE),4960.852721738582,10,11.38,4.31
KURNOOL,Construction,2025-26 (FAE),5619.8844625096135,10,13.28,4.32
NANDYAL,Construction,2022-23 (TRE),2470.2933570396294,17,,2.53
NANDYAL,Construction,2023-24 (SRE),2631,17,6.52,2.54
NANDYAL,Construction,2024-25 (FRE),2915.646571351114,17,10.83,2.54
NANDYAL,Construction,2025-26 (FAE),3283.4586620057325,17,12.59,2.53
ANANTHAPURAMU,Construction,2022-23 (TRE),4571.799795443204,8,,4.69
ANANTHAPURAMU,Construction,2023-24 (SRE),4877,8,6.67,4.72
ANANTHAPURAMU,Construction,2024-25 (FRE),5434.559443287597,8,11.44,4.73
ANANTHAPURAMU,Construction,2025-26 (FAE),6161.133762724207,8,13.36,4.74
SRI SATYA SAI,Construction,2022-23 (TRE),2672.319029817056,16,,2.74
SRI SATYA SAI,Construction,2023-24 (SRE),2792,16,4.49,2.7
SRI SATYA SAI,Construction,2024-25 (FRE),3092.095710545841,16,10.74,2.69
SRI SATYA SAI,Construction,2025-26 (FAE),3479.837300526961,16,12.55,2.68
YSR KADAPA,Construction,2022-23 (TRE),5315.774206892455,4,,5.45
YSR KADAPA,Construction,2023-24 (SRE),5683,4,6.9,5.49
YSR KADAPA,Construction,2024-25 (FRE),6252.09548567561,4,10.01,5.44
YSR KADAPA,Construction,2025-26 (FAE),7088.208632053207,4,13.37,5.45
ANNAMAYYA,Construction,2022-23 (TRE),2414.3657802538687,19,,2.47
ANNAMAYYA,Construction,2023-24 (SRE),2588,18,7.21,2.5
ANNAMAYYA,Construction,2024-25 (FRE),2870.8334089939926,18,10.94,2.5
ANNAMAYYA,Construction,2025-26 (FAE),3239.6755216018246,18,12.85,2.49
CHITTOOR,Construction,2022-23 (TRE),2214.9509685080393,20,,2.27
CHITTOOR,Construction,2023-24 (SRE),2336,20,5.46,2.26
CHITTOOR,Construction,2024-25 (FRE),2610.8940722551574,20,11.77,2.27
CHITTOOR,Construction,2025-26 (FAE),2933.8127249943786,20,12.37,2.26
TIRUPATI,Construction,2022-23 (TRE),5047.306730694907,5,,5.17
TIRUPATI,Construction,2023-24 (SRE),5378,5,6.56,5.2
TIRUPATI,Construction,2024-25 (FRE),5969.586273949782,5,11.01,5.19
TIRUPATI,Construction,2025-26 (FAE),6762.979882289786,5,13.28,5.2
SRIKAKULAM,Industry Sector (aggregate),2022-23 (TRE),6536.288114354138,19,,2.22
SRIKAKULAM,Industry Sector (aggregate),2023-24 (SRE),6475.79093100982,21,-0.92,2
SRIKAKULAM,Industry Sector (aggregate),2024-25 (FRE),7442,20,14.92,2.12
SRIKAKULAM,Industry Sector (aggregate),2025-26 (FAE),8688,19,16.74,2.26
VIZIANAGARAM,Industry Sector (aggregate),2022-23 (TRE),5838.822940458738,21,,1.99
VIZIANAGARAM,Industry Sector (aggregate),2023-24 (SRE),6769.55175499646,19,15.94,2.09
VIZIANAGARAM,Industry Sector (aggregate),2024-25 (FRE),7672,19,13.32,2.19
VIZIANAGARAM,Industry Sector (aggregate),2025-26 (FAE),8269,20,7.78,2.15
PARVATHIPURAM MANYAM,Industry Sector (aggregate),2022-23 (TRE),1265.2431375795823,26,,0.43
PARVATHIPURAM MANYAM,Industry Sector (aggregate),2023-24 (SRE),1306.9541467463166,26,3.32,0.4
PARVATHIPURAM MANYAM,Industry Sector (aggregate),2024-25 (FRE),1574,26,20.43,0.45
PARVATHIPURAM MANYAM,Industry Sector (aggregate),2025-26 (FAE),1693,26,7.56,0.44
ALLURI SEETHA RAMA RAJU,Industry Sector (aggregate),2022-23 (TRE),481.3273163863921,27,,0.16
ALLURI SEETHA RAMA RAJU,Industry Sector (aggregate),2023-24 (SRE),561.6847334614345,27,16.84,0.17
ALLURI SEETHA RAMA RAJU,Industry Sector (aggregate),2024-25 (FRE),643,27,14.41,0.18
ALLURI SEETHA RAMA RAJU,Industry Sector (aggregate),2025-26 (FAE),677,27,5.29,0.18
POLAVARAM,Industry Sector (aggregate),2022-23 (TRE),386.8119440438189,28,,0.13
POLAVARAM,Industry Sector (aggregate),2023-24 (SRE),500.56128055214197,28,29.46,0.15
POLAVARAM,Industry Sector (aggregate),2024-25 (FRE),628,28,25.35,0.18
POLAVARAM,Industry Sector (aggregate),2025-26 (FAE),558,28,-11.15,0.15
